Event_ID,Session_ID,Funnel_Step,Step_Number,Event_Time,Restaurant_Name,Cuisine,Order_Value,Payment_Method,Delivery_Time_Mins
EVT1000,SES1001,App Opened,1,2024-05-20 00:02:00,,,,,
EVT1001,SES1001,Restaurant Viewed,2,2024-05-20 00:03:00,Dominos,South Indian,,,
EVT1002,SES1001,Menu Opened,3,2024-05-20 00:07:00,Paradise Biryani,South Indian,,,
EVT1003,SES1002,App Opened,1,2024-10-06 00:03:00,,,,,
EVT1004,SES1002,Restaurant Viewed,2,2024-10-06 00:02:00,McDonalds,Fast Food,,,
EVT1005,SES1002,Menu Opened,3,2024-10-06 00:05:00,McDonalds,Chinese,,,
EVT1006,SES1002,Item Added to Cart,4,2024-10-06 00:06:00,Wow Momo,Biryani,,,
EVT1007,SES1003,App Opened,1,2024-02-17 00:00:00,,,,,
EVT1008,SES1003,Item Added to Cart,4,2024-02-17 00:08:00,Burger King,Beverages,,,
EVT1009,SES1004,App Opened,1,2024-04-11 00:03:00,,,,,
EVT1010,SES1004,Restaurant Viewed,2,2024-04-11 00:05:00,Chai Point,Desserts,,,
EVT1011,SES1004,Menu Opened,3,2024-04-11 00:04:00,Haldirams,Biryani,,,
EVT1012,SES1004,Order Delivered,7,2024-04-11 00:13:00,Burger King,Fast Food,106.44,UPI,56
EVT1013,SES1005,App Opened,1,2024-03-22 00:02:00,,,,,
EVT1014,SES1005,Restaurant Viewed,2,2024-03-22 00:02:00,Burger King,South Indian,,,
EVT1015,SES1005,Menu Opened,3,2024-03-22 00:05:00,McDonalds,Biryani,,,
EVT1016,SES1006,App Opened,1,2024-06-21 00:03:00,,,,,
EVT1017,SES1006,Menu Opened,3,2024-06-21 00:04:00,Dominos,Biryani,,,
EVT1018,SES1006,Item Added to Cart,4,2024-06-21 00:09:00,Dominos,Desserts,,,
EVT1019,SES1006,Payment Completed,6,2024-06-21 00:13:00,McDonalds,South Indian,580.13,Debit Card,
EVT1020,SES1007,App Opened,1,2024-06-25 00:01:00,,,,,
EVT1021,SES1007,Restaurant Viewed,2,2024-06-25 00:02:00,Dominos,South Indian,,,
EVT1022,SES1007,Menu Opened,3,2024-06-25 00:06:00,Wow Momo,Fast Food,,,
EVT1023,SES1007,Item Added to Cart,4,2024-06-25 00:08:00,McDonalds,Beverages,,,
EVT1024,SES1008,App Opened,1,2024-02-10 00:01:00,,,,,
EVT1025,SES1008,Restaurant Viewed,2,2024-02-10 00:03:00,Burger King,South Indian,,,
EVT1026,SES1008,Menu Opened,3,2024-02-10 00:04:00,Haldirams,Desserts,,,
EVT1027,SES1008,Item Added to Cart,4,2024-02-10 00:08:00,Paradise Biryani,Pizza,,,
EVT1028,SES1008,Order Placed,5,2024-02-10 00:09:00,Barbeque Nation,Biryani,648.94,,
EVT1029,SES1009,App Opened,1,2024-02-05 00:00:00,,,,,
EVT1030,SES1009,Restaurant Viewed,2,2024-02-05 00:04:00,Paradise Biryani,Desserts,,,
EVT1031,SES1009,Order Placed,5,2024-02-05 00:09:00,Haldirams,Fast Food,680.35,,
EVT1032,SES1010,App Opened,1,2024-02-21 00:00:00,,,,,
EVT1033,SES1010,Restaurant Viewed,2,2024-02-21 00:05:00,McDonalds,Beverages,,,
EVT1034,SES1011,App Opened,1,2024-07-08 00:02:00,,,,,
EVT1035,SES1011,Restaurant Viewed,2,2024-07-08 00:04:00,Faasos,North Indian,,,
EVT1036,SES1011,Menu Opened,3,2024-07-08 00:06:00,Paradise Biryani,South Indian,,,
EVT1037,SES1011,Order Placed,5,2024-07-08 00:08:00,Paradise Biryani,Desserts,531.09,,
EVT1038,SES1012,App Opened,1,2024-12-15 00:00:00,,,,,
EVT1039,SES1012,Payment Completed,6,2024-12-15 00:13:00,Dominos,Beverages,711.48,Debit Card,
EVT1040,SES1013,App Opened,1,2024-05-05 00:01:00,,,,,
EVT1041,SES1013,Restaurant Viewed,2,2024-05-05 00:03:00,Dominos,Fast Food,,,
EVT1042,SES1013,Order Delivered,7,2024-05-05 00:15:00,Faasos,Chinese,216.95,Cash on Delivery,53
EVT1043,SES1014,App Opened,1,2024-12-18 00:02:00,,,,,
EVT1044,SES1014,Restaurant Viewed,2,2024-12-18 00:02:00,Faasos,Chinese,,,
EVT1045,SES1014,Menu Opened,3,2024-12-18 00:04:00,Chai Point,Desserts,,,
EVT1046,SES1014,Payment Completed,6,2024-12-18 00:10:00,Box8,South Indian,319.97,UPI,
EVT1047,SES1014,Order Delivered,7,2024-12-18 00:14:00,Burger King,Biryani,539.97,Credit Card,40
EVT1048,SES1015,App Opened,1,2024-06-10 00:02:00,,,,,
EVT1049,SES1015,Restaurant Viewed,2,2024-06-10 00:04:00,Chai Point,South Indian,,,
EVT1050,SES1015,Menu Opened,3,2024-06-10 00:05:00,Barbeque Nation,South Indian,,,
EVT1051,SES1015,Item Added to Cart,4,2024-06-10 00:06:00,Haldirams,Fast Food,,,
EVT1052,SES1016,App Opened,1,2024-06-10 00:01:00,,,,,
EVT1053,SES1016,Restaurant Viewed,2,2024-06-10 00:04:00,Box8,Fast Food,,,
EVT1054,SES1016,Menu Opened,3,2024-06-10 00:04:00,McDonalds,North Indian,,,
EVT1055,SES1016,Payment Completed,6,2024-06-10 00:10:00,Dominos,Desserts,362.18,Wallet,
EVT1056,SES1017,App Opened,1,2024-05-15 00:03:00,,,,,
EVT1057,SES1017,Restaurant Viewed,2,2024-05-15 00:04:00,Paradise Biryani,Pizza,,,
EVT1058,SES1018,App Opened,1,2024-10-26 00:01:00,,,,,
EVT1059,SES1018,Restaurant Viewed,2,2024-10-26 00:05:00,Dominos,Beverages,,,
EVT1060,SES1018,Menu Opened,3,2024-10-26 00:07:00,Chai Point,Pizza,,,
